epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,747.289,1.34171,1.19946,1.46202,0.56474,0.81723,0.72104,0.38484,1.62077,0.95092,1.66843,0.00101488,0.00101488,0.00101488
59,759.71,1.28758,1.13176,1.42961,0.55877,0.78997,0.69074,0.3938,1.61765,1.02308,1.76513,0.00101075,0.00101075,0.00101075
60,770.594,1.34539,1.13234,1.48111,0.52527,0.78525,0.62216,0.35595,1.54074,1.06637,1.63366,0.00100663,0.00100663,0.00100663
61,782.781,1.33179,1.142,1.44897,0.51039,0.73557,0.64295,0.34681,1.68824,1.13382,1.86294,0.0010025,0.0010025,0.0010025
62,793.7,1.34395,1.17746,1.48511,0.4917,0.81618,0.65954,0.36584,1.61335,0.97066,1.72095,0.000998375,0.000998375,0.000998375
63,806.634,1.33421,1.14736,1.463,0.53143,0.82428,0.6226,0.33649,1.6026,1.16645,1.69323,0.00099425,0.00099425,0.00099425
64,818.266,1.35597,1.16323,1.46603,0.54505,0.78409,0.66872,0.3654,1.63964,0.95663,1.8076,0.000990125,0.000990125,0.000990125
65,828.95,1.34209,1.15916,1.45986,0.56777,0.78227,0.69071,0.36747,1.74666,0.97501,1.89961,0.000986,0.000986,0.000986
66,842.406,1.34143,1.06614,1.46612,0.56029,0.75931,0.70575,0.40028,1.60049,1.02585,1.6957,0.000981875,0.000981875,0.000981875
67,854.554,1.29893,1.09807,1.43847,0.58859,0.77944,0.66346,0.35365,1.70664,1.03576,1.84024,0.00097775,0.00097775,0.00097775
68,865.149,1.30506,1.1448,1.45568,0.47425,0.72677,0.58297,0.31657,1.653,1.14103,1.7983,0.000973625,0.000973625,0.000973625
69,876.865,1.32258,1.14114,1.46613,0.61534,0.81151,0.69227,0.37167,1.65833,1.0508,1.77169,0.0009695,0.0009695,0.0009695
70,887.857,1.29451,1.09627,1.44298,0.54105,0.79637,0.69919,0.37118,1.67414,1.1316,1.78955,0.000965375,0.000965375,0.000965375
71,898.821,1.30935,1.05748,1.45417,0.56127,0.70983,0.63456,0.31915,1.70534,1.15633,1.82708,0.00096125,0.00096125,0.00096125
72,910.872,1.31513,1.07826,1.45297,0.57661,0.80995,0.67717,0.33537,1.71878,1.04113,1.77478,0.000957125,0.000957125,0.000957125
73,921.613,1.33302,1.07893,1.46613,0.53243,0.69001,0.66162,0.36807,1.71255,1.08244,1.97148,0.000953,0.000953,0.000953
74,932.602,1.26839,1.05763,1.4127,0.57915,0.74198,0.69385,0.39406,1.66287,1.02784,1.72907,0.000948875,0.000948875,0.000948875
75,945.062,1.34564,1.09354,1.47943,0.63021,0.73873,0.69854,0.37437,1.78424,1.01823,2.00419,0.00094475,0.00094475,0.00094475
